# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
 175400    4.89e-01  3.35e-01    4.72e-02  3.86e-02    3.69e-02  2.51e-02    8.3e-04
 175500    4.05e-01  5.58e-01    5.11e-02  8.40e-03    3.00e-02  4.31e-02    8.3e-04
 175600    4.05e-01  2.44e-01    5.31e-02  2.82e-02    2.99e-02  1.82e-02    8.3e-04
 175700    3.92e-01  6.55e-01    5.23e-02  7.37e-02    2.90e-02  4.90e-02    8.3e-04
 175800    4.60e-01  5.12e-01    4.76e-02  2.51e-02    3.46e-02  3.94e-02    8.3e-04
 175900    4.22e-01  1.80e-01    5.35e-02  4.85e-02    3.13e-02  1.11e-02    8.3e-04
 176000    4.47e-01  3.77e-01    4.85e-02  5.63e-02    3.35e-02  2.75e-02    8.3e-04
 176100    3.34e-01  2.29e-01    4.51e-02  1.32e-02    2.46e-02  1.75e-02    8.3e-04
 176200    3.65e-01  2.81e-01    5.28e-02  5.29e-02    2.68e-02  1.97e-02    8.3e-04
 176300    3.89e-01  3.67e-01    6.49e-02  4.50e-02    2.79e-02  2.73e-02    8.3e-04
 176400    3.85e-01  3.50e-01    3.88e-02  5.46e-02    2.90e-02  2.54e-02    8.3e-04
 176500    3.58e-01  1.89e-01    4.20e-02  3.12e-02    2.67e-02  1.35e-02    8.3e-04
 176600    3.72e-01  3.13e-01    4.87e-02  1.10e-02    2.75e-02  2.41e-02    8.3e-04
 176700    6.03e-01  4.86e-01    5.32e-02  4.26e-02    4.57e-02  3.69e-02    8.3e-04
 176800    3.70e-01  4.73e-01    3.92e-02  4.76e-02    2.78e-02  3.56e-02    8.3e-04
 176900    5.47e-01  3.31e-01    6.79e-02  9.04e-02    4.06e-02  2.03e-02    8.3e-04
 177000    4.16e-01  2.91e-01    4.47e-02  7.43e-03    3.12e-02  2.25e-02    8.3e-04
 177100    3.52e-01  3.87e-01    4.56e-02  6.99e-02    2.60e-02  2.74e-02    8.3e-04
 177200    4.42e-01  5.60e-01    3.88e-02  1.74e-02    3.35e-02  4.32e-02    8.3e-04
 177300    3.54e-01  3.78e-01    5.26e-02  9.15e-02    2.58e-02  2.46e-02    8.3e-04
 177400    4.31e-01  2.32e-01    4.89e-02  9.96e-03    3.23e-02  1.79e-02    8.3e-04
 177500    5.53e-01  1.13e+00    4.17e-02  2.02e-01    4.21e-02  7.99e-02    8.3e-04
 177600    4.47e-01  2.48e-01    3.89e-02  4.74e-02    3.39e-02  1.73e-02    8.3e-04
 177700    3.39e-01  1.16e-01    4.05e-02  6.79e-03    2.53e-02  8.94e-03    8.3e-04
 177800    4.96e-01  2.75e-01    4.03e-02  5.03e-04    3.77e-02  2.13e-02    8.3e-04
 177900    3.96e-01  2.42e-01    3.83e-02  3.71e-02    2.99e-02  1.76e-02    8.3e-04
 178000    3.87e-01  1.84e-01    4.15e-02  2.78e-02    2.90e-02  1.34e-02    8.3e-04
 178100    5.31e-01  4.35e-01    7.63e-02  7.30e-02    3.89e-02  3.12e-02    8.3e-04
 178200    4.16e-01  6.80e-01    3.97e-02  3.25e-02    3.14e-02  5.23e-02    8.3e-04
 178300    4.11e-01  6.27e-01    3.94e-02  1.75e-02    3.11e-02  4.84e-02    8.3e-04
 178400    3.36e-01  2.54e-01    4.39e-02  2.85e-03    2.48e-02  1.96e-02    8.3e-04
 178500    4.33e-01  2.88e-01    4.09e-02  2.86e-02    3.28e-02  2.17e-02    8.3e-04
 178600    4.84e-01  4.59e-01    4.54e-02  3.87e-02    3.66e-02  3.49e-02    8.3e-04
 178700    3.68e-01  1.83e-01    4.44e-02  4.29e-02    2.74e-02  1.21e-02    8.3e-04
 178800    3.84e-01  2.73e-01    5.47e-02  4.77e-02    2.82e-02  1.95e-02    8.3e-04
 178900    3.67e-01  3.50e-01    3.97e-02  6.56e-02    2.75e-02  2.46e-02    8.3e-04
 179000    4.15e-01  2.88e-01    5.76e-02  8.83e-03    3.05e-02  2.22e-02    8.3e-04
 179100    4.59e-01  3.40e-01    3.89e-02  3.13e-02    3.49e-02  2.57e-02    8.3e-04
 179200    4.91e-01  3.64e-01    4.89e-02  2.39e-02    3.70e-02  2.78e-02    8.3e-04
 179300    5.05e-01  3.20e-01    4.04e-02  2.15e-02    3.84e-02  2.45e-02    8.3e-04
 179400    4.58e-01  4.14e-01    5.60e-02  6.95e-02    3.41e-02  2.97e-02    8.3e-04
 179500    3.89e-01  2.67e-01    4.16e-02  1.38e-02    2.92e-02  2.05e-02    8.3e-04
 179600    4.23e-01  2.22e-01    3.98e-02  1.41e-03    3.20e-02  1.72e-02    8.3e-04
 179700    6.55e-01  3.30e-01    5.12e-02  2.89e-02    4.99e-02  2.51e-02    8.3e-04
 179800    4.12e-01  3.18e-01    3.93e-02  3.98e-02    3.12e-02  2.36e-02    8.3e-04
 179900    7.90e-01  6.87e-01    6.11e-02  6.12e-02    6.02e-02  5.21e-02    8.3e-04
 180000    4.75e-01  4.74e-01    8.41e-02  7.78e-02    3.46e-02  3.50e-02    7.9e-04
 180100    4.12e-01  2.32e-01    4.40e-02  2.81e-02    3.17e-02  1.77e-02    7.9e-04
 180200    4.30e-01  3.27e-01    6.13e-02  7.44e-02    3.24e-02  2.23e-02    7.9e-04
 180300    3.69e-01  4.06e-01    4.05e-02  4.34e-02    2.84e-02  3.13e-02    7.9e-04
 180400    5.22e-01  3.60e-01    4.65e-02  1.58e-02    4.06e-02  2.84e-02    7.9e-04
 180500    3.97e-01  2.77e-01    4.57e-02  6.04e-04    3.04e-02  2.20e-02    7.9e-04
 180600    3.58e-01  2.33e-01    3.92e-02  5.08e-02    2.76e-02  1.61e-02    7.9e-04
 180700    3.79e-01  3.99e-01    4.42e-02  4.16e-03    2.91e-02  3.17e-02    7.9e-04
 180800    3.88e-01  2.13e-01    4.94e-02  3.42e-02    2.95e-02  1.58e-02    7.9e-04
 180900    4.04e-01  7.20e-01    7.19e-02  5.41e-02    2.94e-02  5.63e-02    7.9e-04
 181000    3.62e-01  4.55e-01    5.94e-02  6.30e-02    2.67e-02  3.44e-02    7.9e-04
 181100    4.10e-01  2.01e-01    4.11e-02  4.49e-02    3.17e-02  1.38e-02    7.9e-04
 181200    3.79e-01  2.17e-01    3.92e-02  3.63e-02    2.92e-02  1.59e-02    7.9e-04
 181300    5.95e-01  4.69e-01    5.73e-02  6.39e-02    4.61e-02  3.54e-02    7.9e-04
 181400    5.64e-01  7.52e-01    4.17e-02  2.42e-02    4.41e-02  5.95e-02    7.9e-04
 181500    4.44e-01  2.11e-01    4.05e-02  4.42e-02    3.45e-02  1.48e-02    7.9e-04
 181600    3.41e-01  2.99e-01    4.16e-02  6.46e-02    2.60e-02  2.07e-02    7.9e-04
 181700    3.72e-01  6.10e-01    5.10e-02  4.63e-02    2.81e-02  4.77e-02    7.9e-04
 181800    3.58e-01  9.60e-01    3.94e-02  1.11e-01    2.75e-02  7.35e-02    7.9e-04
 181900    6.72e-01  8.80e-01    5.11e-02  4.18e-02    5.26e-02  6.94e-02    7.9e-04
 182000    4.32e-01  5.56e-01    5.98e-02  1.03e-02    3.26e-02  4.41e-02    7.9e-04
 182100    3.90e-01  3.83e-01    5.21e-02  5.44e-02    2.95e-02  2.88e-02    7.9e-04
 182200    3.59e-01  2.36e-01    3.93e-02  4.13e-02    2.76e-02  1.72e-02    7.9e-04
 182300    4.16e-01  2.01e-01    5.14e-02  1.68e-02    3.17e-02  1.57e-02    7.9e-04
 182400    4.00e-01  5.01e-01    5.50e-02  8.26e-03    3.02e-02  3.97e-02    7.9e-04
 182500    3.90e-01  3.16e-01    4.87e-02  2.10e-02    2.97e-02  2.48e-02    7.9e-04
 182600    6.05e-01  3.58e-01    4.70e-02  3.03e-02    4.73e-02  2.79e-02    7.9e-04
 182700    4.08e-01  5.14e-01    5.14e-02  9.41e-02    3.10e-02  3.72e-02    7.9e-04
 182800    3.70e-01  3.46e-01    4.34e-02  1.17e-02    2.83e-02  2.74e-02    7.9e-04
 182900    5.34e-01  4.46e-01    5.40e-02  3.70e-02    4.13e-02  3.48e-02    7.9e-04
 183000    4.24e-01  1.92e-01    4.38e-02  9.81e-03    3.27e-02  1.52e-02    7.9e-04
 183100    4.31e-01  2.39e-01    5.51e-02  1.71e-02    3.28e-02  1.87e-02    7.9e-04
 183200    5.01e-01  9.96e-01    3.91e-02  7.58e-03    3.91e-02  7.91e-02    7.9e-04
 183300    5.51e-01  4.64e-01    5.68e-02  5.84e-02    4.25e-02  3.53e-02    7.9e-04
 183400    4.92e-01  4.15e-01    3.84e-02  6.40e-02    3.84e-02  3.09e-02    7.9e-04
 183500    3.91e-01  2.94e-01    4.35e-02  8.49e-03    3.00e-02  2.33e-02    7.9e-04
 183600    3.90e-01  2.90e-01    4.40e-02  7.98e-02    3.00e-02  1.81e-02    7.9e-04
 183700    3.97e-01  2.06e-01    3.97e-02  3.02e-02    3.07e-02  1.54e-02    7.9e-04
 183800    3.49e-01  2.85e-01    4.35e-02  3.44e-02    2.66e-02  2.18e-02    7.9e-04
 183900    4.06e-01  3.99e-01    4.46e-02  3.30e-02    3.12e-02  3.11e-02    7.9e-04
 184000    3.31e-01  7.77e-01    4.03e-02  1.42e-02    2.53e-02  6.16e-02    7.9e-04
 184100    3.22e-01  2.56e-01    4.05e-02  4.17e-02    2.45e-02  1.89e-02    7.9e-04
 184200    3.82e-01  5.10e-01    3.90e-02  1.63e-04    2.95e-02  4.05e-02    7.9e-04
 184300    3.78e-01  4.68e-01    5.73e-02  5.19e-02    2.82e-02  3.60e-02    7.9e-04
 184400    3.98e-01  3.18e-01    4.18e-02  8.11e-04    3.07e-02  2.52e-02    7.9e-04
 184500    3.90e-01  3.22e-01    4.47e-02  1.81e-02    2.99e-02  2.54e-02    7.9e-04
 184600    4.57e-01  2.45e-01    6.40e-02  4.67e-02    3.44e-02  1.76e-02    7.9e-04
 184700    3.79e-01  3.00e-01    4.48e-02  4.08e-02    2.90e-02  2.26e-02    7.9e-04
 184800    3.70e-01  4.48e-01    4.04e-02  3.52e-03    2.84e-02  3.55e-02    7.9e-04
 184900    4.09e-01  5.22e-01    6.35e-02  5.84e-02    3.04e-02  4.01e-02    7.9e-04
 185000    4.29e-01  3.12e-01    4.71e-02  1.38e-02    3.38e-02  2.53e-02    7.5e-04
 185100    4.65e-01  4.61e-01    4.12e-02  5.25e-02    3.71e-02  3.62e-02    7.5e-04
 185200    4.62e-01  3.51e-01    8.26e-02  1.11e-01    3.44e-02  1.99e-02    7.5e-04
 185300    3.88e-01  3.34e-01    4.81e-02  7.09e-02    3.03e-02  2.39e-02    7.5e-04
 185400    4.94e-01  5.35e-01    3.95e-02  2.91e-02    3.95e-02  4.32e-02    7.5e-04
 185500    3.41e-01  7.14e-01    5.21e-02  1.24e-01    2.60e-02  5.35e-02    7.5e-04
 185600    3.94e-01  5.02e-01    4.63e-02  1.63e-02    3.09e-02  4.08e-02    7.5e-04
 185700    4.09e-01  3.70e-01    6.56e-02  6.85e-02    3.11e-02  2.74e-02    7.5e-04
 185800    3.54e-01  2.10e-01    5.95e-02  2.49e-02    2.67e-02  1.65e-02    7.5e-04
 185900    3.38e-01  1.98e-01    5.88e-02  1.98e-02    2.53e-02  1.57e-02    7.5e-04
 186000    4.56e-01  5.26e-01    8.13e-02  2.51e-02    3.40e-02  4.26e-02    7.5e-04
 186100    3.65e-01  3.37e-01    4.11e-02  2.20e-02    2.87e-02  2.71e-02    7.5e-04
 186200    3.72e-01  5.36e-01    4.25e-02  3.72e-02    2.93e-02  4.31e-02    7.5e-04
 186300    4.25e-01  4.11e-01    4.31e-02  8.71e-02    3.37e-02  2.94e-02    7.5e-04
 186400    3.91e-01  2.41e-01    3.96e-02  1.55e-05    3.10e-02  1.96e-02    7.5e-04
 186500    3.79e-01  5.71e-01    4.19e-02  4.86e-02    2.99e-02  4.56e-02    7.5e-04
 186600    4.02e-01  2.94e-01    4.13e-02  5.24e-02    3.18e-02  2.19e-02    7.5e-04
 186700    3.94e-01  1.76e-01    5.75e-02  5.28e-02    3.02e-02  1.06e-02    7.5e-04
 186800    3.14e-01  3.46e-01    4.94e-02  2.55e-02    2.39e-02  2.78e-02    7.5e-04
 186900    3.38e-01  2.27e-01    4.32e-02  1.21e-02    2.63e-02  1.83e-02    7.5e-04
 187000    3.98e-01  1.26e-01    7.00e-02  2.27e-02    2.97e-02  9.39e-03    7.5e-04
 187100    4.13e-01  3.22e-01    3.85e-02  9.72e-03    3.29e-02  2.62e-02    7.5e-04
 187200    3.46e-01  3.65e-01    4.48e-02  7.23e-03    2.69e-02  2.97e-02    7.5e-04
 187300    3.91e-01  5.45e-01    5.04e-02  3.40e-03    3.05e-02  4.44e-02    7.5e-04
 187400    3.47e-01  4.27e-01    7.94e-02  1.95e-02    2.42e-02  3.46e-02    7.5e-04
 187500    3.39e-01  1.78e-01    4.02e-02  3.87e-03    2.66e-02  1.45e-02    7.5e-04
 187600    3.13e-01  3.70e-01    4.44e-02  4.17e-03    2.41e-02  3.01e-02    7.5e-04
 187700    3.34e-01  2.94e-01    4.21e-02  1.46e-02    2.60e-02  2.38e-02    7.5e-04
 187800    4.18e-01  3.57e-01    3.96e-02  4.16e-02    3.32e-02  2.81e-02    7.5e-04
 187900    3.26e-01  4.05e-01    4.12e-02  1.94e-02    2.54e-02  3.28e-02    7.5e-04
 188000    5.46e-01  3.23e-01    8.13e-02  2.17e-02    4.18e-02  2.60e-02    7.5e-04
 188100    3.74e-01  5.90e-01    5.54e-02  2.62e-02    2.87e-02  4.78e-02    7.5e-04
 188200    3.72e-01  2.69e-01    3.91e-02  6.92e-02    2.94e-02  1.78e-02    7.5e-04
 188300    3.16e-01  2.75e-01    4.20e-02  4.38e-02    2.45e-02  2.09e-02    7.5e-04
 188400    4.03e-01  3.17e-01    4.12e-02  6.30e-02    3.20e-02  2.31e-02    7.5e-04
 188500    4.32e-01  4.43e-01    4.22e-02  5.38e-02    3.43e-02  3.47e-02    7.5e-04
 188600    4.03e-01  2.34e-01    3.97e-02  4.92e-02    3.20e-02  1.67e-02    7.5e-04
 188700    4.28e-01  5.14e-01    4.82e-02  6.76e-02    3.37e-02  4.00e-02    7.5e-04
 188800    3.60e-01  3.95e-01    4.09e-02  7.14e-02    2.83e-02  2.94e-02    7.5e-04
 188900    3.65e-01  2.34e-01    5.51e-02  2.38e-02    2.80e-02  1.86e-02    7.5e-04
 189000    3.84e-01  1.89e-01    4.40e-02  3.92e-02    3.02e-02  1.36e-02    7.5e-04
 189100    3.59e-01  6.12e-01    3.95e-02  1.12e-01    2.83e-02  4.54e-02    7.5e-04
 189200    3.77e-01  2.55e-01    4.43e-02  7.01e-02    2.96e-02  1.62e-02    7.5e-04
 189300    3.52e-01  3.29e-01    5.14e-02  6.16e-02    2.70e-02  2.42e-02    7.5e-04
 189400    3.75e-01  4.01e-01    5.42e-02  6.36e-02    2.88e-02  3.05e-02    7.5e-04
 189500    3.94e-01  1.36e-01    3.98e-02  1.30e-02    3.12e-02  1.08e-02    7.5e-04
 189600    4.95e-01  9.66e-01    6.86e-02  1.54e-01    3.83e-02  7.33e-02    7.5e-04
 189700    4.09e-01  1.85e-01    4.77e-02  2.63e-02    3.22e-02  1.43e-02    7.5e-04
 189800    4.39e-01  2.88e-01    4.28e-02  2.07e-02    3.49e-02  2.31e-02    7.5e-04
 189900    3.32e-01  2.69e-01    4.19e-02  4.82e-02    2.59e-02  2.00e-02    7.5e-04
 190000    3.68e-01  2.17e-01    3.91e-02  4.77e-02    2.99e-02  1.57e-02    7.1e-04
 190100    4.09e-01  3.25e-01    3.93e-02  3.84e-02    3.33e-02  2.62e-02    7.1e-04
 190200    3.77e-01  2.00e-01    4.82e-02  9.07e-03    3.01e-02  1.66e-02    7.1e-04
 190300    3.38e-01  4.26e-01    4.08e-02  6.36e-02    2.71e-02  3.35e-02    7.1e-04
 190400    3.20e-01  1.51e-01    4.19e-02  9.22e-04    2.55e-02  1.26e-02    7.1e-04
 190500    3.88e-01  3.42e-01    3.87e-02  3.53e-02    3.15e-02  2.78e-02    7.1e-04
 190600    3.44e-01  4.15e-01    4.59e-02  1.65e-02    2.74e-02  3.45e-02    7.1e-04
 190700    3.41e-01  1.90e-01    4.40e-02  4.58e-02    2.72e-02  1.33e-02    7.1e-04
 190800    4.07e-01  5.08e-01    4.00e-02  2.53e-02    3.32e-02  4.22e-02    7.1e-04
 190900    3.62e-01  2.28e-01    4.89e-02  7.22e-05    2.88e-02  1.90e-02    7.1e-04
 191000    3.45e-01  2.59e-01    3.99e-02  5.01e-02    2.78e-02  1.94e-02    7.1e-04
 191100    4.26e-01  2.84e-01    4.00e-02  2.98e-02    3.47e-02  2.30e-02    7.1e-04
 191200    3.31e-01  1.66e-01    4.22e-02  5.22e-02    2.65e-02  9.67e-03    7.1e-04
 191300    4.32e-01  3.02e-01    4.06e-02  6.78e-02    3.53e-02  2.17e-02    7.1e-04
 191400    3.98e-01  6.19e-01    5.66e-02  3.92e-02    3.15e-02  5.12e-02    7.1e-04
 191500    3.46e-01  2.22e-01    7.38e-02  1.54e-03    2.53e-02  1.85e-02    7.1e-04
 191600    4.00e-01  1.82e-01    4.58e-02  3.12e-02    3.23e-02  1.40e-02    7.1e-04
 191700    3.99e-01  4.53e-01    4.19e-02  6.19e-02    3.24e-02  3.60e-02    7.1e-04
 191800    4.66e-01  2.78e-01    6.70e-02  8.25e-02    3.68e-02  1.72e-02    7.1e-04
 191900    3.56e-01  1.63e-01    4.04e-02  2.24e-02    2.87e-02  1.30e-02    7.1e-04
 192000    3.73e-01  3.91e-01    6.96e-02  7.54e-02    2.82e-02  2.94e-02    7.1e-04
 192100    4.71e-01  3.57e-01    3.99e-02  2.59e-02    3.86e-02  2.94e-02    7.1e-04
 192200    3.36e-01  7.09e-01    4.89e-02  2.53e-02    2.65e-02  5.90e-02    7.1e-04
 192300    3.86e-01  3.43e-01    5.96e-02  3.20e-02    3.02e-02  2.80e-02    7.1e-04
 192400    5.93e-01  6.90e-01    7.57e-02  6.67e-03    4.74e-02  5.76e-02    7.1e-04
 192500    3.89e-01  2.77e-01    4.45e-02  7.11e-02    3.14e-02  1.88e-02    7.1e-04
 192600    3.59e-01  3.50e-01    3.93e-02  4.00e-02    2.90e-02  2.83e-02    7.1e-04
 192700    4.23e-01  3.17e-01    4.18e-02  4.35e-02    3.45e-02  2.52e-02    7.1e-04
 192800    4.38e-01  2.18e-01    6.13e-02  2.26e-02    3.47e-02  1.77e-02    7.1e-04
 192900    3.99e-01  2.21e-01    4.14e-02  7.09e-02    3.24e-02  1.26e-02    7.1e-04
 193000    4.45e-01  4.18e-01    5.17e-02  8.61e-02    3.58e-02  3.08e-02    7.1e-04
 193100    3.34e-01  4.23e-01    3.92e-02  5.66e-04    2.69e-02  3.53e-02    7.1e-04
 193200    3.30e-01  4.41e-01    4.72e-02  7.60e-02    2.61e-02  3.38e-02    7.1e-04
 193300    3.39e-01  4.34e-01    3.99e-02  4.12e-02    2.73e-02  3.54e-02    7.1e-04
 193400    3.10e-01  2.05e-01    3.93e-02  2.16e-02    2.48e-02  1.67e-02    7.1e-04
 193500    3.44e-01  3.82e-01    4.16e-02  3.09e-03    2.76e-02  3.19e-02    7.1e-04
 193600    3.98e-01  2.56e-01    5.52e-02  7.98e-02    3.15e-02  1.51e-02    7.1e-04
 193700    3.99e-01  2.27e-01    4.25e-02  3.45e-03    3.24e-02  1.89e-02    7.1e-04
 193800    3.41e-01  2.19e-01    3.93e-02  2.33e-03    2.75e-02  1.83e-02    7.1e-04
 193900    3.07e-01  2.63e-01    3.95e-02  7.64e-02    2.45e-02  1.65e-02    7.1e-04
 194000    3.87e-01  4.63e-01    7.25e-02  3.99e-02    2.93e-02  3.80e-02    7.1e-04
 194100    3.46e-01  4.64e-01    4.31e-02  3.82e-02    2.77e-02  3.81e-02    7.1e-04
 194200    5.34e-01  6.43e-01    4.70e-02  2.79e-02    4.37e-02  5.34e-02    7.1e-04
 194300    4.13e-01  2.70e-01    7.75e-02  1.67e-03    3.12e-02  2.26e-02    7.1e-04
 194400    3.28e-01  4.47e-01    4.99e-02  6.93e-02    2.57e-02  3.49e-02    7.1e-04
 194500    4.37e-01  4.11e-01    4.78e-02  5.47e-02    3.54e-02  3.27e-02    7.1e-04
 194600    5.22e-01  7.83e-01    4.19e-02  1.11e-01    4.28e-02  6.19e-02    7.1e-04
 194700    3.50e-01  2.62e-01    3.87e-02  8.38e-02    2.83e-02  1.50e-02    7.1e-04
 194800    4.53e-01  5.92e-01    6.96e-02  5.18e-02    3.55e-02  4.84e-02    7.1e-04
 194900    3.35e-01  2.60e-01    4.17e-02  4.74e-02    2.68e-02  1.98e-02    7.1e-04
 195000    3.67e-01  2.66e-01    4.07e-02  6.48e-02    3.04e-02  1.89e-02    6.8e-04
 195100    4.20e-01  4.31e-01    4.05e-02  7.27e-02    3.51e-02  3.41e-02    6.8e-04
 195200    3.85e-01  3.48e-01    4.45e-02  1.19e-02    3.19e-02  2.97e-02    6.8e-04
 195300    3.40e-01  2.28e-01    5.50e-02  7.66e-02    2.71e-02  1.26e-02    6.8e-04
 195400    3.25e-01  7.43e-01    5.30e-02  4.35e-02    2.58e-02  6.31e-02    6.8e-04
 195500    3.99e-01  5.21e-01    4.81e-02  3.56e-02    3.29e-02  4.41e-02    6.8e-04
 195600    3.13e-01  3.07e-01    3.92e-02  4.15e-02    2.57e-02  2.50e-02    6.8e-04
 195700    3.52e-01  2.72e-01    5.88e-02  2.61e-02    2.79e-02  2.27e-02    6.8e-04
 195800    3.97e-01  2.59e-01    4.13e-02  8.06e-02    3.31e-02  1.56e-02    6.8e-04
 195900    3.87e-01  2.41e-01    4.11e-02  6.49e-02    3.22e-02  1.63e-02    6.8e-04
 196000    4.19e-01  3.68e-01    3.80e-02  4.74e-03    3.51e-02  3.15e-02    6.8e-04
 196100    4.25e-01  4.29e-01    5.61e-02  7.56e-02    3.47e-02  3.36e-02    6.8e-04
 196200    3.99e-01  4.93e-01    6.47e-02  2.61e-02    3.18e-02  4.19e-02    6.8e-04
 196300    3.61e-01  2.48e-01    3.92e-02  6.36e-02    3.00e-02  1.72e-02    6.8e-04
 196400    3.87e-01  3.04e-01    3.87e-02  1.73e-02    3.23e-02  2.58e-02    6.8e-04
 196500    3.44e-01  1.72e-01    3.84e-02  1.61e-02    2.85e-02  1.44e-02    6.8e-04
 196600    3.36e-01  2.39e-01    4.43e-02  3.36e-03    2.75e-02  2.04e-02    6.8e-04
 196700    3.26e-01  1.88e-01    4.80e-02  2.76e-02    2.63e-02  1.52e-02    6.8e-04
 196800    3.86e-01  9.26e-01    4.70e-02  7.64e-02    3.17e-02  7.79e-02    6.8e-04
 196900    3.34e-01  1.71e-01    4.36e-02  1.25e-02    2.73e-02  1.44e-02    6.8e-04
 197000    4.04e-01  3.05e-01    5.08e-02  2.01e-02    3.32e-02  2.58e-02    6.8e-04
 197100    3.24e-01  2.10e-01    4.73e-02  3.74e-02    2.62e-02  1.65e-02    6.8e-04
 197200    3.09e-01  2.52e-01    4.07e-02  3.25e-02    2.53e-02  2.06e-02    6.8e-04
 197300    3.13e-01  2.31e-01    4.91e-02  6.97e-02    2.50e-02  1.43e-02    6.8e-04
 197400    3.33e-01  3.42e-01    3.85e-02  2.00e-02    2.75e-02  2.91e-02    6.8e-04
 197500    3.04e-01  2.32e-01    3.94e-02  4.75e-02    2.48e-02  1.75e-02    6.8e-04
 197600    3.09e-01  2.77e-01    3.89e-02  4.57e-02    2.54e-02  2.19e-02    6.8e-04
 197700    3.44e-01  3.17e-01    4.05e-02  9.44e-03    2.84e-02  2.71e-02    6.8e-04
 197800    5.64e-01  4.19e-01    4.50e-02  8.44e-03    4.75e-02  3.59e-02    6.8e-04
 197900    3.27e-01  2.62e-01    4.03e-02  6.16e-02    2.69e-02  1.89e-02    6.8e-04
 198000    3.42e-01  1.89e-01    3.94e-02  1.82e-03    2.83e-02  1.62e-02    6.8e-04
 198100    3.08e-01  3.12e-01    4.13e-02  9.80e-02    2.51e-02  1.86e-02    6.8e-04
 198200    3.26e-01  6.39e-01    3.96e-02  1.24e-01    2.68e-02  4.90e-02    6.8e-04
 198300    3.16e-01  4.87e-01    4.51e-02  4.71e-02    2.56e-02  4.07e-02    6.8e-04
 198400    3.00e-01  5.36e-01    3.95e-02  5.29e-02    2.45e-02  4.47e-02    6.8e-04
 198500    3.35e-01  1.15e-01    4.11e-02  7.72e-03    2.76e-02  9.75e-03    6.8e-04
 198600    3.42e-01  2.49e-01    4.37e-02  2.82e-02    2.80e-02  2.06e-02    6.8e-04
 198700    3.21e-01  1.87e-01    4.05e-02  2.62e-02    2.63e-02  1.52e-02    6.8e-04
 198800    4.47e-01  1.87e-01    4.46e-02  2.73e-02    3.73e-02  1.51e-02    6.8e-04
 198900    3.16e-01  3.95e-01    3.97e-02  3.42e-02    2.60e-02  3.32e-02    6.8e-04
 199000    3.27e-01  2.26e-01    4.72e-02  2.28e-02    2.64e-02  1.89e-02    6.8e-04
 199100    3.59e-01  2.85e-01    4.37e-02  2.64e-03    2.95e-02  2.44e-02    6.8e-04
 199200    3.23e-01  1.51e-01    4.45e-02  4.51e-03    2.63e-02  1.29e-02    6.8e-04
 199300    3.00e-01  2.12e-01    3.91e-02  1.04e-02    2.46e-02  1.80e-02    6.8e-04
 199400    3.11e-01  4.39e-01    4.14e-02  6.59e-02    2.54e-02  3.53e-02    6.8e-04
 199500    3.62e-01  3.88e-01    4.47e-02  2.32e-02    2.98e-02  3.30e-02    6.8e-04
 199600    3.51e-01  1.78e-01    4.50e-02  3.47e-02    2.88e-02  1.37e-02    6.8e-04
 199700    3.46e-01  1.47e-01    4.35e-02  4.27e-02    2.84e-02  9.40e-03    6.8e-04
 199800    3.81e-01  2.59e-01    3.83e-02  4.87e-03    3.18e-02  2.22e-02    6.8e-04
 199900    4.06e-01  4.83e-01    4.40e-02  6.17e-02    3.37e-02  3.96e-02    6.8e-04
 200000    3.44e-01  2.69e-01    3.91e-02  5.44e-02    2.91e-02  2.09e-02    6.4e-04
 200100    3.47e-01  4.33e-01    4.92e-02  1.26e-02    2.88e-02  3.79e-02    6.4e-04
 200200    3.96e-01  2.23e-01    4.43e-02  5.56e-02    3.36e-02  1.61e-02    6.4e-04
 200300    3.80e-01  4.05e-01    6.42e-02  9.49e-03    3.08e-02  3.55e-02    6.4e-04
 200400    3.07e-01  2.41e-01    4.28e-02  3.95e-02    2.56e-02  1.97e-02    6.4e-04
 200500    3.17e-01  3.47e-01    4.02e-02  6.79e-02    2.66e-02  2.73e-02    6.4e-04
 200600    3.19e-01  2.13e-01    3.92e-02  4.45e-02    2.69e-02  1.64e-02    6.4e-04
 200700    4.40e-01  2.49e-01    7.18e-02  9.22e-02    3.59e-02  1.15e-02    6.4e-04
 200800    4.03e-01  4.16e-01    4.67e-02  7.83e-03    3.41e-02  3.65e-02    6.4e-04
 200900    3.16e-01  3.74e-01    3.94e-02  6.55e-02    2.66e-02  3.01e-02    6.4e-04
 201000    3.39e-01  1.61e-01    4.35e-02  3.72e-02    2.85e-02  1.20e-02    6.4e-04
 201100    3.29e-01  3.22e-01    4.68e-02  1.66e-02    2.73e-02  2.81e-02    6.4e-04
 201200    3.92e-01  8.16e-01    7.74e-02  5.18e-02    3.08e-02  7.10e-02    6.4e-04
 201300    3.03e-01  1.85e-01    4.08e-02  2.83e-02    2.53e-02  1.52e-02    6.4e-04
 201400    4.18e-01  3.56e-01    3.99e-02  1.42e-02    3.59e-02  3.12e-02    6.4e-04
 201500    4.59e-01  3.96e-01    4.46e-02  1.55e-02    3.94e-02  3.46e-02    6.4e-04
 201600    3.34e-01  2.11e-01    5.04e-02  1.39e-02    2.75e-02  1.83e-02    6.4e-04
