# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
   5900    8.42e+00  3.56e+00    9.42e-02  1.39e-01    2.73e-01  1.15e-01    4.8e-03
   6000    8.20e+00  7.91e+00    1.41e-01  1.86e-01    2.66e-01  2.57e-01    4.8e-03
   6100    7.25e+00  4.78e+00    6.90e-02  5.29e-02    2.35e-01  1.55e-01    4.8e-03
   6200    7.64e+00  4.32e+00    1.58e-01  1.56e-01    2.48e-01  1.40e-01    4.8e-03
   6300    6.84e+00  1.15e+01    7.16e-02  5.05e-02    2.22e-01  3.73e-01    4.8e-03
   6400    6.85e+00  2.72e+00    1.14e-01  9.13e-02    2.22e-01  8.84e-02    4.8e-03
   6500    7.56e+00  1.09e+01    2.49e-01  2.37e-01    2.45e-01  3.55e-01    4.8e-03
   6600    6.30e+00  6.76e+00    2.04e-01  2.31e-01    2.04e-01  2.19e-01    4.8e-03
   6700    4.76e+00  7.31e+00    5.55e-02  7.44e-03    1.55e-01  2.37e-01    4.8e-03
   6800    8.41e+00  1.15e+01    4.60e-02  5.20e-03    2.73e-01  3.74e-01    4.8e-03
   6900    5.85e+00  4.55e+00    1.42e-01  8.72e-02    1.90e-01  1.48e-01    4.8e-03
   7000    6.99e+00  8.61e+00    1.22e-01  1.17e-01    2.27e-01  2.79e-01    4.8e-03
   7100    5.70e+00  4.62e+00    1.97e-01  2.04e-01    1.85e-01  1.50e-01    4.8e-03
   7200    4.84e+00  3.32e+00    1.72e-01  2.26e-01    1.57e-01  1.08e-01    4.8e-03
   7300    4.75e+00  3.55e+00    2.20e-01  2.11e-01    1.54e-01  1.15e-01    4.8e-03
   7400    5.24e+00  5.38e+00    8.59e-02  6.34e-02    1.70e-01  1.75e-01    4.8e-03
   7500    3.93e+00  5.78e+00    8.22e-02  3.49e-02    1.27e-01  1.88e-01    4.8e-03
   7600    6.77e+00  4.46e+00    9.31e-02  8.19e-02    2.20e-01  1.45e-01    4.8e-03
   7700    5.03e+00  2.22e+00    2.21e-01  2.15e-01    1.63e-01  7.18e-02    4.8e-03
   7800    5.44e+00  4.38e+00    3.27e-01  3.42e-01    1.76e-01  1.42e-01    4.8e-03
   7900    6.11e+00  5.31e+00    7.89e-02  1.26e-01    1.98e-01  1.72e-01    4.8e-03
   8000    5.80e+00  3.31e+00    6.20e-02  3.00e-02    1.88e-01  1.07e-01    4.8e-03
   8100    5.33e+00  6.63e+00    1.85e-01  1.44e-01    1.73e-01  2.15e-01    4.8e-03
   8200    3.72e+00  2.19e+00    1.22e-01  1.19e-01    1.21e-01  7.11e-02    4.8e-03
   8300    6.06e+00  3.80e+00    8.26e-02  3.23e-02    1.97e-01  1.23e-01    4.8e-03
   8400    3.87e+00  1.97e+00    4.89e-02  3.14e-02    1.26e-01  6.39e-02    4.8e-03
